Title,Subject,Grade,Board,FileURL,Description
Akhlaqiat (Optional) class 1,Ethics,1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1e5GPdHGhyfwq-RNjAJVAbXOt6Z3oP70h/preview,Official PCTB Akhlaqiat (Optional) class 1 e-book / textbook.
Nazra Quran Class 2,Islamic Studies,2,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/12c5yKIIjnyVjiV89OOKDGtE-amxkVrfF/preview,Official PCTB Nazra Quran Class 2 e-book / textbook.
Urdu class 2,Urdu,2,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1cWaeH4aUC0xJi2kbYkmrENXmU-NnBx6L/preview,Official PCTB Urdu class 2 e-book / textbook.
English class 2,English,2,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1mDTFzH_fwjl-ZA7peQpVAxE00C3GQ2MX/preview,Official PCTB English class 2 e-book / textbook.
"Math class 2, English medium",Mathematics,2,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/11SMlZk9Z3mdAG49ewxxK0ge1DnvyKViZ/preview,"Official PCTB Math class 2, English medium e-book / textbook."
"Waqfiyat e Aama class 2, Urdu medium",Urdu,2,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1zcFk3RFMgOqGpsZWtJi67kSAyDgC9kw_/preview,"Official PCTB Waqfiyat e Aama class 2, Urdu medium e-book / textbook."
Islamiat class 2 Urdu medium,Urdu,2,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Z6_q9lf4H2zdXw_VInOMIUZRLFG_QL8X/preview,Official PCTB Islamiat class 2 Urdu medium e-book / textbook.
Akhlaqiat (Optional) class 2,Ethics,2,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1tyeA7dylxYzNFqQlF67JNV78tl03l2l4/preview,Official PCTB Akhlaqiat (Optional) class 2 e-book / textbook.
Nazra Quran Class 3,Islamic Studies,3,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/125VXr4hNUS_90tLX0Vx6aASghIKBcfKI/preview,Official PCTB Nazra Quran Class 3 e-book / textbook.
Urdu Class 3,Urdu,3,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1LNXCmSfpIBA2OgHSx1wn_FeOzvr-MKbn/preview,Official PCTB Urdu Class 3 e-book / textbook.
English Class 3,English,3,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/11xsJrNr0ONZO8wJUSIq8p0SiK7tLyWZP/preview,Official PCTB English Class 3 e-book / textbook.
Math Class 3,Mathematics,3,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1C69gAPjeD2yKfyvDG97kZIiTGJwCbTr2/preview,Official PCTB Math Class 3 e-book / textbook.
"Waqfiyat e Aama Class 3, Urdu medium",Urdu,3,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/120tl2Vz_PhCAAqtivosUlnh9DOiQ3Fs8/preview,"Official PCTB Waqfiyat e Aama Class 3, Urdu medium e-book / textbook."
"Islamiat Class 3, Urdu medium",Urdu,3,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1aqVKG8-2-AIG3Y2K65C1KWZWB1R7XisG/preview,"Official PCTB Islamiat Class 3, Urdu medium e-book / textbook."
"Akhlaqiat Class 3, (Optional)",Ethics,3,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1IiZhg6zhdlXAYNz_piPnCb4_wggIFMN2/preview,"Official PCTB Akhlaqiat Class 3, (Optional) e-book / textbook."
Nazra Quran Class 4,Islamic Studies,4,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Ba8QJM31iXxivUuKZLIAZZJ17PejDENB/preview,Official PCTB Nazra Quran Class 4 e-book / textbook.
Urdu Class 4,Urdu,4,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1lmfd019QlRWK-ZBJr0Ze7eLPU1PxIbfs/preview,Official PCTB Urdu Class 4 e-book / textbook.
English Class 4,English,4,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1YxAHOKvHXjdzQVy_RvoZeuugrHL3t0_e/preview,Official PCTB English Class 4 e-book / textbook.
"Math Class 4, English Medium",Mathematics,4,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1fpvfnz1sb6arKs8fcumu-Hgl4LjM34eh/preview,"Official PCTB Math Class 4, English Medium e-book / textbook."
General Science Class 4 English Medium,English,4,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1dAS1tPwg-kAAaN6dF1M-InwLJwl8OTWK/preview,Official PCTB General Science Class 4 English Medium e-book / textbook.
Islamiat Class 4 Urdu Medium,Urdu,4,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/13HfdenXkBOLf_3kHQHV_VH4MzoalQqXX/preview,Official PCTB Islamiat Class 4 Urdu Medium e-book / textbook.
"Masharti Aloom Class 4, Urdu Medium",Urdu,4,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1EFPSWwGq32iIT-eDGKqtVjMsOeoMHUAD/preview,"Official PCTB Masharti Aloom Class 4, Urdu Medium e-book / textbook."
"Akhlaqiat Class 4, (Optional)",Ethics,4,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1_E6f2daSK68EXKe4s-JdpzlJWcIJs6ki/preview,"Official PCTB Akhlaqiat Class 4, (Optional) e-book / textbook."
Nazra Quran Class 5,Islamic Studies,5,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/10seBJAaN5l1CW_sRWKto4WQZRqnKqaFz/preview,Official PCTB Nazra Quran Class 5 e-book / textbook.
Urdu class 5,Urdu,5,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/10OQQYD3q-k6-Oq9m-5PwC5mg7Y2rbX_4/preview,Official PCTB Urdu class 5 e-book / textbook.
English Class 5,English,5,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1jsODAQskQsmY_SUp_4xJS7_4VB2lEfat/preview,Official PCTB English Class 5 e-book / textbook.
"Math Class 5, English Medium",Mathematics,5,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1JGSOgl61IFiwosrBQQVwLOo8FEt2tDA1/preview,"Official PCTB Math Class 5, English Medium e-book / textbook."
"General Science Class 5, English Medium",English,5,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1dwl4glSoZ2c1AYVKXH1IIkTSC4B3s97E/preview,"Official PCTB General Science Class 5, English Medium e-book / textbook."
"Islamiat Class 5, Urdu Medium",Urdu,5,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1xvIrc83nySxsysX5g6u7YN-yFeGe3QLb/preview,"Official PCTB Islamiat Class 5, Urdu Medium e-book / textbook."
"Masharti Aloom Class 5, Urdu medium",Urdu,5,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1FOp-kWZ_Z7hLcMsFaVxAkuzIdWVO56oe/preview,"Official PCTB Masharti Aloom Class 5, Urdu medium e-book / textbook."
"Akhlaqiat Class 5, (Optional)",Ethics,5,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1GoMHXY1XOB1O3Z1RFOMY6eWOplgAyP7-/preview,"Official PCTB Akhlaqiat Class 5, (Optional) e-book / textbook."
TARJUMA -TUL-QURAN -UL MAJEED Class 6,Islamic Studies,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1U-E0-_l_ERWaoomo0KRM3xXRbMNIKheE/preview,Official PCTB TARJUMA -TUL-QURAN -UL MAJEED Class 6 e-book / textbook.
Urdu SNC 2023-24 Class 6,Urdu,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1fjKTF0VJ9rGwEwrb1iYMZkuYxu4RmsdA/preview,Official PCTB Urdu SNC 2023-24 Class 6 e-book / textbook.
English SNC 2023-24 Class 6,English,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1J2WmRQ8acfiz3ZMCoWGisyE9qwnfclKY/preview,Official PCTB English SNC 2023-24 Class 6 e-book / textbook.
"Islamiat Class 6, Urdu Medium 2022",Urdu,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1sce17Q3P-dyNorHZpSdOTfST5-OMPHce/preview,"Official PCTB Islamiat Class 6, Urdu Medium 2022 e-book / textbook."
Geography SNC 2023-24 Class 6,Geography,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1OyJ19YeWpIFt6zjhTrLopJdtZVp2Wd0C/preview,Official PCTB Geography SNC 2023-24 Class 6 e-book / textbook.
History SNC 2023-24 Class 6,History,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1VhVINAr69UPAtnh3h7Ddt_KoHAidCY_4/preview,Official PCTB History SNC 2023-24 Class 6 e-book / textbook.
Ethics-2022 Class 6,Ethics,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1jpoj-jZT16QyDNGw-wCLn3r8WtfP-nOz/preview,Official PCTB Ethics-2022 Class 6 e-book / textbook.
Arabic-2022 Class 6,Arabic,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1eyir16wfi0C3UegVBo-bAB4C45fqvWdC/preview,Official PCTB Arabic-2022 Class 6 e-book / textbook.
Math SNC 2023-24 Class 6,Mathematics,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1mrKk0eG9rXxnQn2NJ2Sh_nH1U5wj2W1i/preview,Official PCTB Math SNC 2023-24 Class 6 e-book / textbook.
General Science SNC 2023-24 Class 6,General Science,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1DBdylHYJf82704FwDsr3MpQNEy1h5U-k/preview,Official PCTB General Science SNC 2023-24 Class 6 e-book / textbook.
Computer Science SNC 2023-24 Class 6,Computer Science,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1iZWa6KY50JzkMd5I8xiiEy-64v0c7QiZ/preview,Official PCTB Computer Science SNC 2023-24 Class 6 e-book / textbook.
ART & Drawing Class 6,Art & Drawing,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1UNoKKjJj3XxDIzypldyBrcIndgE9AfaS/preview,Official PCTB ART & Drawing Class 6 e-book / textbook.
Zari Taleem Class 6,Education,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1cPKPU_FjEaG2y3Tslsus5WqX48jcZqfd/preview,Official PCTB Zari Taleem Class 6 e-book / textbook.
Punjabi Class 6,Punjabi,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1OYkUT_VF_8j2UJ1_yljPa4jvLDOsO-W7/preview,Official PCTB Punjabi Class 6 e-book / textbook.
Farsi Class 6,Persian,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1XnbK7uOq7rn5IEZOxxqrOzGvVuCxUDX8/preview,Official PCTB Farsi Class 6 e-book / textbook.
Itlaqi Barqiat Class 6,Computer Science,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1hvMVMj8ygB9ir4HzhYLSxi9qXlx9GaH3/preview,Official PCTB Itlaqi Barqiat Class 6 e-book / textbook.
"Home Economics Class 6, Urdu Medium",Urdu,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Q9xJqkTZ83DPPHa710KExHZWENebCtDC/preview,"Official PCTB Home Economics Class 6, Urdu Medium e-book / textbook."
"Geography Class 6, Urdu medium",Urdu,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1wqc8Zvqk26bxBxyy-lXP1VTjn1xdgObj/preview,"Official PCTB Geography Class 6, Urdu medium e-book / textbook."
"History Class 6, Urdu Medium",Urdu,6,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1ePELIBDXkBxWUvYNwVGaFVwGpTH0EVHS/preview,"Official PCTB History Class 6, Urdu Medium e-book / textbook."
TARJUMA -TUL-QURAN -UL MAJEED Class 7,Islamic Studies,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/123L_ClDHd6uH9Sw-83rkAIoGhuEQNomZ/preview,Official PCTB TARJUMA -TUL-QURAN -UL MAJEED Class 7 e-book / textbook.
Islamiat SNC 2023-24 Class 7,Islamic Studies,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1g5mgMgPAcCUB-70JoGNbKk-Vu4cYjteC/preview,Official PCTB Islamiat SNC 2023-24 Class 7 e-book / textbook.
"Arabic Class 7, 2022 (Optional)",Arabic,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1pzN6br_CJHQ7niuDa3uSYYIr99Yt85T1/preview,"Official PCTB Arabic Class 7, 2022 (Optional) e-book / textbook."
Urdu SNC 2023-24 Class 7,Urdu,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1uqgeKN-J11LdgkNeCiJunDcXMTRirt8a/preview,Official PCTB Urdu SNC 2023-24 Class 7 e-book / textbook.
Ethics 2022 Class 7,Ethics,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1RRBSrb6SL02Ndn9YcnmUqYCcMoM7IJ5S/preview,Official PCTB Ethics 2022 Class 7 e-book / textbook.
Geography SNC 2023-24 Class 7,Geography,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1jcC0QyYAg_j0s_95ukvs-w9-eyLV9qQZ/preview,Official PCTB Geography SNC 2023-24 Class 7 e-book / textbook.
History SNC 2023-24 Class 7,History,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/17ByBOJMShn8Mps2dOSMy5t2u7oTseZ59/preview,Official PCTB History SNC 2023-24 Class 7 e-book / textbook.
Math SNC 2023-24 Class 7,Mathematics,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1aIKToDIBjBgS_8A2Thmbm46srz4r338i/preview,Official PCTB Math SNC 2023-24 Class 7 e-book / textbook.
English SNC 2023-24 Class 7,English,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1EyfyU6OAE61w2RqAQQSRx_hbvVaIm9ew/preview,Official PCTB English SNC 2023-24 Class 7 e-book / textbook.
Computer Science SNC 2023-24 Class 7,Computer Science,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1LgxaMdjj-BiC-MEkQfSXBVXD7x4c9dy9/preview,Official PCTB Computer Science SNC 2023-24 Class 7 e-book / textbook.
General Science SNC 2023-24 Class 7,General Science,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/14r9bFkXbR_lBGma5m2Bh20Mm7vhWmMpW/preview,Official PCTB General Science SNC 2023-24 Class 7 e-book / textbook.
General Science Urdu Medium Class 7,Urdu,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1hjYIne7bxgY91E_ZhUmRunJtT2jDlvGd/preview,Official PCTB General Science Urdu Medium Class 7 e-book / textbook.
ART & Drawing Class 7,Art & Drawing,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Oar7_KC6r5UHwMkYV-e5GR6yZRVbhr0k/preview,Official PCTB ART & Drawing Class 7 e-book / textbook.
Farsi Class 7,Persian,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1uFeKHyzJd4Eb8dcyYFSeQVm7lF5R_QoE/preview,Official PCTB Farsi Class 7 e-book / textbook.
Punjabi Class 7,Punjabi,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1o1KKNfM4RluZYf-pKgE7f7tuJjtCBxdc/preview,Official PCTB Punjabi Class 7 e-book / textbook.
Zari Taleem Class 7,Education,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1qir-o2wxq9gpWnOC1oBR4_iRlhbQJCea/preview,Official PCTB Zari Taleem Class 7 e-book / textbook.
Itlaqi Barqiat Class 7,Computer Science,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/19PU6OLJ8gwJn5byZOnW8HugorFTBMbKW/preview,Official PCTB Itlaqi Barqiat Class 7 e-book / textbook.
Home Economics Urdu Medium Class 7,Urdu,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1GKPcqeq_ZTI-HLGyyF-hcr8XFl0tH4zc/preview,Official PCTB Home Economics Urdu Medium Class 7 e-book / textbook.
Home Economics English Medium Class 7,English,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1hxrGjfRrVRWarrjpMkjVoqaXd4yAj7ji/preview,Official PCTB Home Economics English Medium Class 7 e-book / textbook.
Geography Urdu Medium Class 7,Urdu,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1IcRoT1RqG2gwhbyHeO93PKnN3d8_FDCE/preview,Official PCTB Geography Urdu Medium Class 7 e-book / textbook.
History Urdu Medium Class 7,Urdu,7,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1UxKj6IhIPmwA3UWV84e-3ZZl-1pN65vg/preview,Official PCTB History Urdu Medium Class 7 e-book / textbook.
TARJUMA -TUL-QURAN -UL MAJEED Class 8,Islamic Studies,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1Gs2TIBIS5TumiHy1WlCm6yDYFyQnGSeH/preview,Official PCTB TARJUMA -TUL-QURAN -UL MAJEED Class 8 e-book / textbook.
English SNC 2023-24 Class 8,English,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1VjslGe1d421x--q0gxAn2l4tYx3zAKF3/preview,Official PCTB English SNC 2023-24 Class 8 e-book / textbook.
Math SNC 2023-24 Class 8,Mathematics,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1nu_CRaFBMu2C5mgJd7Y-ekzOVITP-9rq/preview,Official PCTB Math SNC 2023-24 Class 8 e-book / textbook.
Geography SNC 2023-24 Class 8,Geography,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1aMxVwR0tg25ZzUKF17yGYJ6WIqLlh2X1/preview,Official PCTB Geography SNC 2023-24 Class 8 e-book / textbook.
History SNC 2023-24 Class 8,History,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1hRe3ZTRWQrMEcnWWPJtopp-u5intUob2/preview,Official PCTB History SNC 2023-24 Class 8 e-book / textbook.
General Science SNC 2023-24 Class 8,General Science,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/14fpAa9TGsayEuMYuwY9gaRU9c_PKky_s/preview,Official PCTB General Science SNC 2023-24 Class 8 e-book / textbook.
Computer Science SNC 2023-24 Class 8,Computer Science,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1HcurSgdPnqAIuyVzzoKCDk_rGV-t5LsM/preview,Official PCTB Computer Science SNC 2023-24 Class 8 e-book / textbook.
Urdu SNC 2023-24 Class 8,Urdu,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1b_tMiA-YJ3ujhvrQQVJ43MGR3MlQykZh/preview,Official PCTB Urdu SNC 2023-24 Class 8 e-book / textbook.
Islamiat SNC 2023-24 Class 8,Islamic Studies,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1wSqIrXtfu0qjaMKlRdMnQ3eOKG3kF-jC/preview,Official PCTB Islamiat SNC 2023-24 Class 8 e-book / textbook.
"Arabic Class 8, 2022 (Optional)",Arabic,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1FIATDLIZyaKZkJOrhlJyaoYavRfLNpnc/preview,"Official PCTB Arabic Class 8, 2022 (Optional) e-book / textbook."
"Ethics Class 8, 2022",Ethics,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1U0XEoha1jvTgcclNxlicz4Zr64eCb0Jd/preview,"Official PCTB Ethics Class 8, 2022 e-book / textbook."
ART & Drawing Class 8,Art & Drawing,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1P7A3MzWR4r6SKPrQMGaDzXtkgI3Th_di/preview,Official PCTB ART & Drawing Class 8 e-book / textbook.
Farsi Class 8,Persian,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1iOVilJOB29LSynrEGb8EIwdtte_AVEZj/preview,Official PCTB Farsi Class 8 e-book / textbook.
Punjabi Class 8,Punjabi,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1gQqk-gR9TUj_cfkcAFIrQFLtoCfRwyET/preview,Official PCTB Punjabi Class 8 e-book / textbook.
Zari Taleem Class 8,Education,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1DZM5FjdhBaVlU1FeGFPBAiofP6w6Rt3I/preview,Official PCTB Zari Taleem Class 8 e-book / textbook.
Itlaqi Barqiat Class 8,Computer Science,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1afDFrcvKT-8DeVz0Ro3RaeIcHBUeiqLh/preview,Official PCTB Itlaqi Barqiat Class 8 e-book / textbook.
Home Economics Urdu Medium Class 8,Urdu,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1MJaRDwgBkdC6-ADZAh1-wc72PeNR8TLj/preview,Official PCTB Home Economics Urdu Medium Class 8 e-book / textbook.
Home Economics English Medium Class 8,English,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/15M-UTWB2ZI8qZEwYUxIpDmXM8R_H_gcO/preview,Official PCTB Home Economics English Medium Class 8 e-book / textbook.
Geography Urdu Medium Class 8,Urdu,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/13hHZDDx9dDi3spCIMclj7CVkQ1t50eVP/preview,Official PCTB Geography Urdu Medium Class 8 e-book / textbook.
History Urdu Medium Class 8,Urdu,8,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1tc4UyYM3fRW_U9XtfmPRMciRgCzZI7N2/preview,Official PCTB History Urdu Medium Class 8 e-book / textbook.
Tarjuma-tul-Quran-ul-Majeed Class 9,Islamic Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/157EhLaNBr6h1XNrF6k2mflsdui9RfYaU/preview,Official PCTB Tarjuma-tul-Quran-ul-Majeed Class 9 e-book / textbook.
Islamiat SNC 2023-24 Class 9,Islamic Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/18XgCH9EanxBp5i2WHI562OPjyIVGdLce/preview,Official PCTB Islamiat SNC 2023-24 Class 9 e-book / textbook.
Islamiyat 2025-26 Class 9,Islamic Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1kiaCqhXsXuuZ7HAAuXYfjl4_WaBf-ARS/preview,Official PCTB Islamiyat 2025-26 Class 9 e-book / textbook.
Urdu Class 9,Urdu,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1anDiX4MZVNmMOzwrwLS7AV0qm5gxO5RF/preview,Official PCTB Urdu Class 9 e-book / textbook.
English 2023-24 Class 9,English,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1FINjBKx-C1rlY1EiWGXIsiPVitYMx-5v/preview,Official PCTB English 2023-24 Class 9 e-book / textbook.
English 2025-26 Class 9,English,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1mWBO-wzXqv0Oq9oazcjM-Y16EqmPqBtj/preview,Official PCTB English 2025-26 Class 9 e-book / textbook.
General Math English Medium 2020 Class 9,Mathematics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1NYkK6KoP96kJWpDX9YwhGLr8eaYof9T_/preview,Official PCTB General Math English Medium 2020 Class 9 e-book / textbook.
General Math Urdu Medium 2020 Class 9,Mathematics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1DvhLz3Z_FusF9Wyv2EeItrXSucBLpoCp/preview,Official PCTB General Math Urdu Medium 2020 Class 9 e-book / textbook.
Math (Science Group) English Medium 2020 Class 9,Mathematics,9,PCTB (Punjab Curriculum & Textbook Board),https://pctb.punjab.gov.pk/system/files/2019-G09-Mathematics-EM_0.pdf,Official PCTB Math (Science Group) English Medium 2020 Class 9 e-book / textbook.
Math (Science Group) Urdu Medium 2020 Class 9,Mathematics,9,PCTB (Punjab Curriculum & Textbook Board),https://pctb.punjab.gov.pk/system/files/2019-G09-Math-UM_0.pdf,Official PCTB Math (Science Group) Urdu Medium 2020 Class 9 e-book / textbook.
Math English Medium 2025-26 Class 9,Mathematics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1IHxM96F221JY3uL4jEIRWQ8NxskXyilF/preview,Official PCTB Math English Medium 2025-26 Class 9 e-book / textbook.
Math Urdu Medium 2025-26 Class 9,Mathematics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1uSduNMyaebkeOlAis_oh4KUBKssMAT2M/preview,Official PCTB Math Urdu Medium 2025-26 Class 9 e-book / textbook.
